id,slug,brand,name,matched_url,longevity_score,longevity_source,sillage_score,sillage_source,versatility_score,versatility_source,neighbor_slugs
4847,narciso-rodriguez-for-her-eau-de-parfum,Narciso Rodriguez,For Her Eau de Parfum,https://www.parfumo.com/Perfumes/Narciso_Rodriguez/For_Her_Eau_de_Parfum,8,catalog-neighbors,7,catalog-neighbors,7,catalog-neighbors,dior-eau-sauvage-parfum-2017 | dior-dior-homme-parfum-2014 | prada-lhomme-intense | nishane-nefs | giorgio-armani-acqua-di-gio-parfum | chanel-bleu-de-chanel-parfum | kinetic-perfumes-sillage
4866,nishane-hacivat,Nishane,Hacivat,https://www.parfumo.com/Perfumes/Nishane/Hacivat,8,catalog-neighbors,7,catalog-neighbors,7,catalog-neighbors,nishane-nefs | nishane-wulong-cha-extrait-de-parfum | kinetic-perfumes-sillage | marc-antoine-barrois-ganymede-eau-de-parfum | yves-saint-laurent-tuxedo-eau-de-parfum | dior-bois-dargent-eau-de-parfum | liquides-imaginaires-liquide-2022
4830,paco-rabanne-1-million,Paco Rabanne,1 Million,,9,catalog-neighbors,8,catalog-neighbors,5,catalog-neighbors,rasasi-la-yuqawam-pour-homme | parfums-de-marly-habdan | afnan-perfumes-supremacy-collectors-edition | lattafa-pride-art-of-arabia-i | acqua-di-parma-oud-eau-de-parfum | stephane-humbert-lucas-black-gemstone | atkinsons-oud-save-the-king-eau-de-parfum
4863,parfums-de-marly-delina,Parfums de Marly,Delina,,8,catalog-neighbors,7,catalog-neighbors,7,catalog-neighbors,parfums-de-marly-althair | guerlain-linstant-de-guerlain-pour-homme-eau-de-parfum | dior-eau-sauvage-parfum-2017 | guerlain-linstant-de-guerlain-pour-homme-eau-de-toilette | dior-dior-homme-parfum-2014 | xerjoff-homme-anniversary | dior-bois-dargent-eau-de-parfum
4827,prada-luna-rossa-carbon,Prada,Luna Rossa Carbon,,7,catalog-neighbors,7,catalog-neighbors,7,catalog-neighbors,prada-lhomme | prada-lhomme-intense | chanel-pour-monsieur-eau-de-toilette | chanel-allure-homme-sport-eau-extreme | chanel-egoiste-eau-de-toilette | chanel-platinum-egoiste-eau-de-toilette | dior-fahrenheit-parfum
4843,prada-paradoxe,Prada,Paradoxe,,8,catalog-neighbors,7,catalog-neighbors,7,catalog-neighbors,prada-lhomme | prada-lhomme-intense | guerlain-linstant-de-guerlain-pour-homme-eau-de-parfum | guerlain-linstant-de-guerlain-pour-homme-eau-de-toilette | maison-francis-kurkdjian-gentle-fluidity-silver | marc-antoine-barrois-ganymede-eau-de-parfum | giorgio-armani-acqua-di-gio-parfum
4833,tom-ford-noir-extreme,Tom Ford,Noir Extreme,,9,catalog-neighbors,8,catalog-neighbors,5,catalog-neighbors,atkinsons-oud-save-the-king-eau-de-parfum | afnan-perfumes-supremacy-collectors-edition | lattafa-pride-art-of-arabia-i | acqua-di-parma-oud-eau-de-parfum | stephane-humbert-lucas-black-gemstone | parfums-de-marly-habdan | rasasi-la-yuqawam-pour-homme
4852,versace-bright-crystal,Versace,Bright Crystal,,8,catalog-neighbors,7,catalog-neighbors,7,catalog-neighbors,guerlain-linstant-de-guerlain-pour-homme-eau-de-parfum | dior-bois-dargent-eau-de-parfum | guerlain-linstant-de-guerlain-pour-homme-eau-de-toilette | dior-eau-sauvage-parfum-2017 | maison-francis-kurkdjian-amyris-homme-eau-de-toilette | maison-francis-kurkdjian-gentle-fluidity-silver | marc-antoine-barrois-ganymede-eau-de-parfum
4829,versace-dylan-blue,Versace,Dylan Blue,,7,catalog-neighbors,7,catalog-neighbors,7,catalog-neighbors,chanel-allure-homme-eau-de-toilette | chanel-allure-homme-edition-blanche-eau-de-toilette-concentree | gucci-gucci-pour-homme-ii-eau-de-toilette | loccitane-en-provence-cedre-encens | ormonde-jayne-ormonde-man-eau-de-parfum | yves-saint-laurent-lhomme-eau-de-toilette | chanel-egoiste-eau-de-toilette
4846,viktor-and-rolf-flowerbomb,Viktor and Rolf,Flowerbomb,,8,catalog-neighbors,7,catalog-neighbors,8,catalog-neighbors,giorgio-armani-acqua-di-gio-parfum | parfums-de-marly-althair | giorgio-armani-acqua-di-gio-profumo-parfum | guerlain-linstant-de-guerlain-pour-homme-eau-de-parfum | maison-francis-kurkdjian-amyris-homme-extrait-de-parfum | guerlain-guerlain-homme-eau-de-parfum | prada-lhomme
4836,viktor-and-rolf-spicebomb-extreme,Viktor and Rolf,Spicebomb Extreme,https://www.parfumo.com/Perfumes/Viktor_Rolf/Spicebomb_Extreme,9,catalog-neighbors,8,catalog-neighbors,5,catalog-neighbors,atkinsons-oud-save-the-king-eau-de-parfum | afnan-perfumes-supremacy-collectors-edition | lattafa-pride-art-of-arabia-i | acqua-di-parma-oud-eau-de-parfum | stephane-humbert-lucas-black-gemstone | parfums-de-marly-habdan | rasasi-la-yuqawam-pour-homme
4862,xerjoff-naxos,Xerjoff,Naxos,https://www.parfumo.com/Perfumes/Xerjoff/naxos,9,seed-curated,8,seed-curated,7,seed-curated,marc-antoine-barrois-tilia | xerjoff-la-capitale | xerjoff-starlight | xerjoff-renaissance | xerjoff-opera | parfums-delmar-zaya | sospiro-vibrato
4824,yves-saint-laurent-la-nuit-de-l-homme,Yves Saint Laurent,La Nuit de L Homme,,8,catalog-neighbors,7,catalog-neighbors,7,catalog-neighbors,guerlain-linstant-de-guerlain-pour-homme-eau-de-parfum | yves-saint-laurent-lhomme-eau-de-toilette | dior-dior-homme-parfum-2014 | chanel-bleu-de-chanel-parfum | guerlain-linstant-de-guerlain-pour-homme-eau-de-toilette | prada-lhomme-intense | xerjoff-homme-anniversary
4841,yves-saint-laurent-libre-eau-de-parfum,Yves Saint Laurent,Libre Eau de Parfum,https://www.parfumo.com/Perfumes/Yves_Saint_Laurent/libre-eau-de-parfum,7,catalog-neighbors,7,catalog-neighbors,7,catalog-neighbors,yves-saint-laurent-tuxedo-eau-de-parfum | yves-saint-laurent-lhomme-eau-de-toilette | kinetic-perfumes-sillage | chanel-allure-homme-edition-blanche-eau-de-parfum | liquides-imaginaires-liquide-2022 | nishane-nefs | chanel-allure-homme-sport-eau-extreme
