brand,name,parfumo_url,gender,rank,rating,votes,year,top_notes,heart_notes,base_notes,family,image_url,notes
Maison Crivelli,Tubéreuse Astrale,https://www.parfumo.com/Perfumes/Maison_Crivelli/tubereuse-astrale,UNISEX,341,8.0,623,,,,,,https://media.parfumo.com/perfumes/3d/3d4de4-tubereuse-astrale-maison-crivelli_1200.jpg?width=240&aspect_ratio=1:1,
Profumum Roma,Ambra Aurea,https://www.parfumo.com/Perfumes/Profumum_Roma/Ambra_Aurea,UNISEX,342,8.2,550,,,,,,https://media.parfumo.com/perfumes/6b/6b9375-ambra-aurea-profumum-roma_1200.jpg?width=240&aspect_ratio=1:1,
Amouage,Guidance 46,https://www.parfumo.com/Perfumes/Amouage/guidance-46,UNISEX,343,8.4,481,,,,,,https://media.parfumo.com/perfumes/cf/cf53a1-guidance-46-amouage_1200.jpg?width=240&aspect_ratio=1:1,
Mugler,Mugler Cologne,https://www.parfumo.com/Perfumes/mugler/Mugler_Cologne,UNISEX,344,7.7,819,,,,,,https://media.parfumo.com/perfumes/7d/7d92c3-mugler-cologne-mugler_1200.jpg?width=240&aspect_ratio=1:1,
Xerjoff,Purple Accento,https://www.parfumo.com/Perfumes/Xerjoff/Purple_Accento,UNISEX,345,8.2,560,,,,,,https://media.parfumo.com/perfumes/1d/1d0586_purple-accento-xerjoff_1200.jpg?width=240&aspect_ratio=1:1,
Le Labo,AnOther 13 Eau de Parfum,https://www.parfumo.com/Perfumes/Le_Labo/AnOther_13,UNISEX,346,7.5,955,,,,,,https://media.parfumo.com/perfumes/3c/3cd55f-another-13-eau-de-parfum-le-labo_1200.jpg?width=240&aspect_ratio=1:1,
The Merchant Of Venice,Andalusian Soul,https://www.parfumo.com/Perfumes/The_Merchant_Of_Venice/Andalusian_Soul,UNISEX,347,8.1,597,,,,,,https://media.parfumo.com/perfumes/cc/cc6d94-andalusian-soul-the-merchant-of-venice_1200.jpg?width=240&aspect_ratio=1:1,
Pierre Guillaume,4.1 Le Musc & La Peau,https://www.parfumo.com/Perfumes/Pierre_Guillaume/Le_Musc__La_Peau_No_4_1,UNISEX,348,8.0,618,,,,,,https://media.parfumo.com/perfumes/28/283418-4-1-le-musc-la-peau-pierre-guillaume_1200.jpg?width=240&aspect_ratio=1:1,
Marc Gebauer,Purple Flamingo,https://www.parfumo.com/Perfumes/marc-gebauer/purple-flamingo,UNISEX,349,7.8,734,,,,,,https://media.parfumo.com/perfumes/25/25c8de_purple-flamingo-marc-gebauer_1200.jpg?width=240&aspect_ratio=1:1,
Anfas,Rahaba,https://www.parfumo.com/Perfumes/Anfas/Rahaba,UNISEX,350,8.1,555,,,,,,https://media.parfumo.com/perfumes/bb/bb4327-rahaba-anfas_1200.jpg?width=240&aspect_ratio=1:1,
Tom Ford,Eau d'Ombré Leather,https://www.parfumo.com/Perfumes/Tom_Ford/eau-d-ombre-leather,UNISEX,351,8.2,539,,,,,,https://media.parfumo.com/perfumes/68/68249f-eau-d-ombre-leather-tom-ford_1200.jpg?width=240&aspect_ratio=1:1,
Tom Ford,Ébène Fumé Eau de Parfum,https://www.parfumo.com/Perfumes/Tom_Ford/ebene-fume-eau-de-parfum,UNISEX,352,8.0,640,,,,,,https://media.parfumo.com/perfumes/c2/c2d4a0-ebene-fume-eau-de-parfum-tom-ford_1200.jpg?width=240&aspect_ratio=1:1,
Comme des Garçons,Series 3: Incense - Kyoto,https://www.parfumo.com/Perfumes/Comme_des_Garons/Series_3_Incense_Kyoto,UNISEX,353,8.0,597,,,,,,https://media.parfumo.com/perfumes/5a/5a5a42-series-3-incense-kyoto-comme-des-garcons_1200.jpg?width=240&aspect_ratio=1:1,
Theodoros Kalotinis,Coffee Addict,https://www.parfumo.com/Perfumes/theodoros-kalotinis/coffee-addict,UNISEX,354,7.9,650,,,,,,https://media.parfumo.com/perfumes/6d/6d6a07-coffee-addict-theodoros-kalotinis_1200.jpg?width=240&aspect_ratio=1:1,
Widian,Black IV,https://www.parfumo.com/Perfumes/Widian/black-iv,UNISEX,355,8.6,414,,,,,,https://media.parfumo.com/perfumes/3e/3ee876-black-collection-iv-widian-aj-arabia_1200.jpg?width=240&aspect_ratio=1:1,
Atelier des Ors,Lune Féline Eau de Parfum,https://www.parfumo.com/Perfumes/Atelier_des_Ors/lune-feline-eau-de-parfum,UNISEX,356,8.0,631,,,,,,https://media.parfumo.com/perfumes/39/397a85-lune-feline-eau-de-parfum-atelier-des-ors_1200.jpg?width=240&aspect_ratio=1:1,
Heeley,Cardinal,https://www.parfumo.com/Perfumes/Heeley/Cardinal,UNISEX,357,8.0,600,,,,,,https://media.parfumo.com/perfumes/c6/c60410-cardinal-heeley_1200.jpg?width=240&aspect_ratio=1:1,
Editions de Parfums Frédéric Malle,L'Eau d'Hiver,https://www.parfumo.com/Perfumes/Editions_de_Parfum_Frederic_Malle/L_Eau_d_Hiver,UNISEX,358,7.9,672,,,,,,https://media.parfumo.com/perfumes/30/303467-l-eau-d-hiver-editions-de-parfums-frederic-malle_1200.jpg?width=240&aspect_ratio=1:1,
Nusuk,Ateeq,https://www.parfumo.com/Perfumes/nusuk/ateeq,UNISEX,359,8.7,366,,,,,,https://media.parfumo.com/perfumes/ca/cae1c3_ateeq-nusuk_1200.jpg?width=240&aspect_ratio=1:1,
Kilian,Rolling in Love,https://www.parfumo.com/Perfumes/Kilian/rolling-in-love,UNISEX,360,7.9,668,,,,,,https://media.parfumo.com/perfumes/6d/6d24be-rolling-in-love-kilian_1200.jpg?width=240&aspect_ratio=1:1,
