brand,name,parfumo_url,gender,rank,rating,votes,year,top_notes,heart_notes,base_notes,family,image_url,notes
Giorgio Armani,Emporio Armani...lei/elle/she/ella/女...,https://www.parfumo.com/Perfumes/Giorgio_Armani/Emporio_Armani__leiellesheella__,WOMEN,155,7.6,693,,,,,,https://media.parfumo.com/perfumes/6f/6fbb8b-emporio-armani-lei-elle-she-ella-giorgio-armani_1200.jpg?width=240&aspect_ratio=1:1,
Lancôme,Ôud Bouquet,https://www.parfumo.com/Perfumes/Lancome/oud-bouquet,WOMEN,156,8.1,490,,,,,,https://media.parfumo.com/perfumes/61/6125a2-oud-bouquet-lancome_1200.jpg?width=240&aspect_ratio=1:1,
Dior,Poison Esprit de Parfum,https://www.parfumo.com/Perfumes/Dior/Poison_Esprit_de_Parfum,WOMEN,157,7.9,534,,,,,,https://media.parfumo.com/perfumes/ee/eea7de-poison-esprit-de-parfum-dior_1200.jpg?width=240&aspect_ratio=1:1,
Prada,Candy Eau de Parfum,https://www.parfumo.com/Perfumes/Prada/Candy_Eau_de_Parfum,WOMEN,158,7.1,1019,,,,,,https://media.parfumo.com/perfumes/64/64f392-candy-eau-de-parfum-prada_1200.jpg?width=240&aspect_ratio=1:1,
Chopard,Cašmir Eau de Parfum,https://www.parfumo.com/Perfumes/Chopard/Camir_Eau_de_Parfum,WOMEN,159,7.2,955,,,,,,https://media.parfumo.com/perfumes/d9/d94cd6-casmir-eau-de-parfum-chopard_1200.jpg?width=240&aspect_ratio=1:1,
Chanel,N°19 Poudré,https://www.parfumo.com/Perfumes/Chanel/No_19_Poudre,WOMEN,160,7.8,585,,,,,,https://media.parfumo.com/perfumes/75/759c06-n-19-poudre-chanel_1200.jpg?width=240&aspect_ratio=1:1,
Dior,Hypnotic Poison (2014) Eau de Parfum,https://www.parfumo.com/Perfumes/Dior/Hypnotic_Poison_Eau_de_Parfum,WOMEN,161,8.0,520,,,,,,https://media.parfumo.com/perfumes/38/38ab25-hypnotic-poison-2014-eau-de-parfum-dior_1200.jpg?width=240&aspect_ratio=1:1,
Dior,Poison Girl Eau de Parfum,https://www.parfumo.com/Perfumes/Dior/Poison_Girl_Eau_de_Parfum,WOMEN,162,7.7,632,,,,,,https://media.parfumo.com/perfumes/f9/f93479-poison-girl-eau-de-parfum-dior_1200.jpg?width=240&aspect_ratio=1:1,
Bvlgari,Omnia Crystalline Eau de Toilette,https://www.parfumo.com/Perfumes/Bvlgari/Omnia_Crystalline,WOMEN,163,7.5,728,,,,,,https://media.parfumo.com/perfumes/0b/0b09c9-omnia-crystalline-eau-de-toilette-bvlgari_1200.jpg?width=240&aspect_ratio=1:1,
Cacharel,Noa Eau de Toilette,https://www.parfumo.com/Perfumes/Cacharel/Noa,WOMEN,164,7.6,690,,,,,,https://media.parfumo.com/perfumes/53/5312c8-noa-eau-de-toilette-cacharel_1200.jpg?width=240&aspect_ratio=1:1,
